generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,20,14,0.1,0,0,2.2,44,0.0,2.6390573296152584,1741001755.6595583
1,50,47,0.1,3,0,2.7,37,0.96,2.417612538132633,1741001756.966704
2,50,50,0.1,4,0,2.92,27,0.96,2.0853775306968143,1741001756.9711077
3,50,53,0.1,4,0,3.04,30,0.96,1.9259551413901532,1741001756.9746962
4,50,61,0.1,6,0,3.22,25,0.96,1.7463654619202404,1741001756.9783108
5,50,70,0.1,7,0,3.4,24,0.96,1.7043136563459085,1741001756.982029
6,50,77,0.1,1,0,3.6,25,0.96,1.6578430105345627,1741001756.9857962
7,50,87,0.1,9,0,3.92,25,0.96,1.2698766917760447,1741001756.98968
8,50,98,0.1,8,0,4.08,22,0.96,1.0749070864210957,1741001756.9937637
9,50,98,0.1,3,0,4.16,21,0.96,1.0749070864210957,1741001756.9977167
10,50,98,0.1,4,0,4.26,22,0.96,1.1096945740347794,1741001757.0016954
11,50,96,0.1,6,0,4.34,23,0.96,1.0311143342471303,1741001758.3017092
12,50,100,0.1,4,0,4.5,23,0.96,1.1184896893123624,1741001758.3063486
13,50,104,0.1,3,0,4.7,23,0.96,1.1925295160167981,1741001758.310462
14,50,109,0.1,4,0,4.82,23,0.96,1.3115491323987858,1741001758.3146696
15,50,116,0.1,4,0,4.84,22,0.96,1.4029584107992656,1741001758.3188515
16,50,126,0.1,7,0,4.98,24,0.96,1.5145643617511164,1741001758.3232658
17,50,133,0.1,6,0,5.0,22,0.96,1.432932455835619,1741001758.3275952
18,50,142,0.1,4,0,4.96,23,0.96,1.5070472520746891,1741001758.3319392
19,50,143,0.1,1,0,5.0,21,0.96,1.4873341249175056,1741001758.3362563
20,50,143,0.1,3,0,5.02,20,0.96,1.5188908915724748,1741001758.3406043
21,50,143,0.1,3,0,5.1,22,0.96,1.5403608426439195,1741001759.685701
22,50,145,0.1,3,0,5.3,23,0.96,1.5573944201953345,1741001759.6925526
23,50,144,0.1,5,0,5.5,24,0.96,1.5467859370470831,1741001759.6974065
24,50,150,0.1,5,0,5.6,24,0.96,1.675735561339612,1741001759.7019677
25,50,150,0.1,5,0,5.62,26,0.96,1.6557290177784478,1741001759.7065315
26,50,155,0.1,2,0,5.8,26,0.96,1.7576125279560142,1741001759.711135
27,50,165,0.1,4,0,5.8,27,0.96,1.8318935315782627,1741001759.7158434
28,50,169,0.1,6,0,6.02,29,0.96,1.87683799585453,1741001759.7206805
29,50,177,0.1,7,0,6.24,31,0.96,1.9774705684101237,1741001759.7255101
30,50,189,0.1,7,0,6.24,29,0.96,1.976212902372198,1741001759.7305143
31,50,204,0.1,6,0,6.22,27,0.96,2.042765886954311,1741001761.0626895
32,50,216,0.1,4,0,6.46,29,0.96,2.065966202969893,1741001761.0685751
33,50,229,0.1,3,0,6.74,27,0.96,1.912212180693881,1741001761.0739298
34,50,235,0.1,4,0,6.9,25,0.96,1.8846848051481364,1741001761.0808845
35,50,236,0.1,6,0,7.1,27,0.96,1.9207666040826576,1741001761.0863168
36,50,241,0.1,6,0,7.3,28,0.96,1.9478314530003529,1741001761.0917962
37,50,252,0.1,10,0,7.54,33,0.96,2.068384741989326,1741001761.0973623
38,50,273,0.1,4,0,7.58,31,0.96,2.171259218374932,1741001761.1030178
39,50,282,0.1,6,0,7.74,32,0.96,2.2580187124069053,1741001761.1087582
40,50,292,0.1,6,0,7.8,29,0.96,2.246054227891612,1741001761.114537
41,50,298,0.1,6,0,8.06,31,0.96,2.281389563192356,1741001762.452596
42,50,305,0.1,3,0,8.06,32,0.96,2.222242644717637,1741001762.4593017
43,50,312,0.1,4,0,7.96,31,0.96,2.214322034187865,1741001762.465345
44,50,323,0.1,5,0,7.94,29,0.96,2.182841684080195,1741001762.471423
45,50,330,0.1,3,0,8.34,30,0.96,2.286853011899776,1741001762.4775827
46,50,333,0.1,4,0,8.76,32,0.96,2.36193214778009,1741001762.4838355
47,50,339,0.1,4,0,9.16,32,0.96,2.4091868447196676,1741001762.4905639
48,50,344,0.1,2,0,9.28,32,0.96,2.386356709075066,1741001762.497461
49,50,352,0.1,5,0,9.7,32,0.96,2.43292499260249,1741001762.5039754
