generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,20,13,0.3,0,0,1.75,35,0.0,2.564949357461537,1741001769.4965036
1,50,52,0.3,12,0,2.56,28,0.96,2.2560386133565413,1741001770.659776
2,50,58,0.3,15,0,3.1,28,0.96,2.0005756200659777,1741001770.6639698
3,50,77,0.3,14,0,3.36,33,0.96,2.4165729832203686,1741001770.6676617
4,50,98,0.3,22,0,3.9,42,0.96,2.5031652510729874,1741001770.6719224
5,50,117,0.3,12,0,4.34,41,0.96,2.5476407531536864,1741001770.6762705
6,50,144,0.3,15,0,4.8,42,0.96,2.421729247419532,1741001770.680846
7,50,182,0.3,13,0,4.94,28,0.96,2.180728901428098,1741001770.6856983
8,50,209,0.3,19,0,5.58,32,0.96,2.101461727097366,1741001770.690757
9,50,234,0.3,14,0,6.08,26,0.96,1.9712640831520793,1741001770.6961544
10,50,254,0.3,6,0,6.34,26,0.96,2.1274566056300364,1741001770.7015696
11,50,270,0.3,12,0,6.48,28,0.96,2.2446675874973963,1741001771.9935763
12,50,284,0.3,14,0,7.0,31,0.96,2.381076439922957,1741001771.9996915
13,50,300,0.3,18,0,7.62,36,0.96,2.4825916492307467,1741001772.005315
14,50,337,0.3,12,0,7.72,37,0.96,2.7576728427373896,1741001772.0110533
15,50,356,0.3,11,0,8.28,40,0.96,2.8251740922515958,1741001772.0170047
16,50,367,0.3,14,0,8.62,40,0.96,2.729920698162073,1741001772.0230093
17,50,378,0.3,16,0,8.92,41,0.96,2.7676199132490362,1741001772.0306268
18,50,389,0.3,15,0,9.74,45,0.96,2.8487780891868755,1741001772.0368855
19,50,404,0.3,10,0,10.56,43,0.96,2.8452327689229846,1741001772.0433767
20,50,430,0.3,17,0,10.98,35,0.96,2.815063492879287,1741001772.0500793
21,50,422,0.3,15,0,12.64,40,0.96,2.4320321778325815,1741001773.3910003
22,50,442,0.3,17,0,13.04,43,0.96,2.6295338841663836,1741001773.3989081
23,50,469,0.3,11,0,13.8,41,0.96,2.6095308491854436,1741001773.4062703
24,50,495,0.3,17,0,14.46,42,0.96,2.6749891270599235,1741001773.413871
25,50,518,0.3,14,0,15.12,44,0.96,2.7707211470822846,1741001773.4216423
26,50,536,0.3,15,0,15.58,51,0.96,2.8597813642484073,1741001773.4295747
27,50,565,0.3,20,0,16.02,57,0.96,2.941861853142202,1741001773.437978
28,50,598,0.3,11,0,16.0,51,0.96,2.9583462993492042,1741001773.4462266
29,50,607,0.3,12,0,16.8,56,0.96,3.0306030798389654,1741001773.4546132
30,50,627,0.3,12,0,16.96,49,0.96,2.9672963677221684,1741001773.4631395
31,50,635,0.3,15,0,17.42,53,0.96,2.8675188069403807,1741001774.8266182
32,50,645,0.3,11,0,18.1,53,0.96,2.8743528721583167,1741001774.836296
33,50,658,0.3,15,0,18.5,51,0.96,2.9980965568599065,1741001774.8452246
34,50,680,0.3,16,0,19.06,51,0.96,3.0673485255041175,1741001774.8556113
35,50,691,0.3,17,0,19.46,52,0.96,3.0274309524826712,1741001774.865657
36,50,703,0.3,18,0,20.12,61,0.96,2.9987376117304687,1741001774.8751452
37,50,730,0.3,17,0,20.48,50,0.96,2.8896913185766286,1741001774.8846827
38,50,748,0.3,18,0,20.96,58,0.96,2.9106917237930383,1741001774.8946316
39,50,763,0.3,12,0,21.06,52,0.96,2.963469853775847,1741001774.904402
40,50,779,0.3,17,0,21.68,58,0.96,3.0535715624115647,1741001774.914334
41,50,801,0.3,16,0,21.94,50,0.96,3.0656702341093864,1741001776.2626834
42,50,828,0.3,11,0,22.14,48,0.96,3.129110358240825,1741001776.2740269
43,50,839,0.3,17,0,22.62,50,0.96,3.1674304006628815,1741001776.2867112
44,50,868,0.3,15,0,22.72,53,0.96,3.234090378627085,1741001776.298289
45,50,894,0.3,12,0,22.94,50,0.96,3.26236346770245,1741001776.3098278
46,50,913,0.3,13,0,23.5,53,0.96,3.2408982594986853,1741001776.3210044
47,50,934,0.3,15,0,23.56,51,0.96,3.272987239790144,1741001776.332535
48,50,955,0.3,14,0,23.94,52,0.96,3.3080841096754168,1741001776.344807
49,50,979,0.3,12,0,24.64,51,0.96,3.311064889519688,1741001776.3575783
