experiment_id,experiment,mutation_rate,selection_pressure,inheritance_factor,final_diversity,avg_diversity,final_population,avg_attributes,avg_fitness,runtime
1,低变异率,0.1,0.7,0.5,2.43292499260249,1.8183069449431404,50,5.8304,1.216462496301245,6.852721691131592
2,高变异率,0.6,0.7,0.5,3.0945826764433932,3.113509001280377,50,12.519199999999998,1.5472913382216966,6.957727670669556
3,低选择压力,0.3,0.4,0.5,3.311064889519688,2.766133719775712,50,13.758600000000001,1.655532444759844,6.874014377593994
4,高选择压力,0.3,0.9,0.5,2.348028361044328,2.4889064415582443,50,5.685200000000001,1.174014180522164,6.820350646972656
5,低继承因子,0.3,0.7,0.2,2.8950305378844075,2.8371684139345854,50,8.8336,1.4475152689422037,6.997903108596802
6,高继承因子,0.3,0.7,0.8,2.8446182701238625,2.7526216956721496,50,9.197000000000001,1.4223091350619312,6.846361398696899
