generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,20,14,0.3,0,0,1.8,36,0.0,2.6390573296152584,1741001776.3839147
1,50,41,0.3,16,0,1.98,40,0.96,2.83658360683255,1741001777.545437
2,50,50,0.3,14,0,2.38,43,0.96,2.8021854563694113,1741001777.5495384
3,50,50,0.3,15,0,2.48,37,0.96,2.4590478862249547,1741001777.553147
4,50,50,0.3,14,0,2.66,36,0.96,2.2562062040807724,1741001777.5567317
5,50,52,0.3,15,0,2.82,40,0.96,2.4550497812999823,1741001777.560344
6,50,59,0.3,15,0,2.8,46,0.96,2.440624383909784,1741001777.5639586
7,50,59,0.3,12,0,2.94,42,0.96,2.556549054612146,1741001777.567821
8,50,61,0.3,13,0,3.16,45,0.96,2.622676789483722,1741001777.5718334
9,50,62,0.3,13,0,2.92,36,0.96,2.3802853229354883,1741001777.5758374
10,50,64,0.3,20,0,3.38,43,0.96,2.5019721406888005,1741001777.5799444
11,50,66,0.3,13,0,3.68,45,0.96,2.577863005611303,1741001778.881416
12,50,60,0.3,10,0,3.74,45,0.96,2.4877032958776493,1741001778.8858387
13,50,60,0.3,18,0,3.96,52,0.96,2.532375307503012,1741001778.889775
14,50,63,0.3,17,0,4.08,53,0.96,2.3969826585919414,1741001778.893739
15,50,61,0.3,16,0,4.26,54,0.96,2.5840568355981266,1741001778.8977473
16,50,58,0.3,19,0,4.4,49,0.96,2.5835670376714095,1741001778.9019027
17,50,65,0.3,9,0,4.44,47,0.96,2.5142821052228626,1741001778.906005
18,50,61,0.3,14,0,4.52,46,0.96,2.2596867187362824,1741001778.9100842
19,50,63,0.3,12,0,4.88,47,0.96,2.2297266601288848,1741001778.914219
20,50,68,0.3,12,0,4.9,49,0.96,2.308254894051801,1741001778.9183965
21,50,64,0.3,12,0,5.06,47,0.96,2.274866081848257,1741001780.3496203
22,50,59,0.3,13,0,5.36,44,0.96,2.121628119687065,1741001780.3546093
23,50,72,0.3,13,0,5.74,48,0.96,2.5074018676676144,1741001780.35903
24,50,76,0.3,14,0,6.2,48,0.96,2.4019194170052773,1741001780.3635087
25,50,74,0.3,18,0,6.3,56,0.96,2.473942469299909,1741001780.3680227
26,50,80,0.3,15,0,6.86,58,0.96,2.4833105733459315,1741001780.372711
27,50,91,0.3,14,0,6.58,63,0.96,2.729071198719409,1741001780.3773363
28,50,86,0.3,8,0,6.58,56,0.96,2.4473673139894156,1741001780.3819377
29,50,79,0.3,13,0,6.2,46,0.96,2.1183430216042414,1741001780.3865225
30,50,85,0.3,12,0,6.6,45,0.96,2.186599955438172,1741001780.3912022
31,50,98,0.3,14,0,7.0,51,0.96,2.190442967996191,1741001781.7318335
32,50,101,0.3,16,0,7.26,56,0.96,2.3119460624298545,1741001781.7373152
33,50,100,0.3,16,0,7.28,58,0.96,2.2655742703685355,1741001781.7422085
34,50,102,0.3,14,0,7.34,52,0.96,2.4078671508708083,1741001781.7471235
35,50,121,0.3,15,0,7.9,57,0.96,2.765428357898891,1741001781.7522519
36,50,114,0.3,18,0,7.48,55,0.96,2.6802392826539463,1741001781.7574344
37,50,115,0.3,16,0,7.5,52,0.96,2.5588800160350345,1741001781.762885
38,50,123,0.3,17,0,7.66,53,0.96,2.5815859118875206,1741001781.7681377
39,50,126,0.3,9,0,7.78,52,0.96,2.7224548508376176,1741001781.7732575
40,50,135,0.3,15,0,7.92,56,0.96,2.7206749311386615,1741001781.7785866
41,50,142,0.3,12,0,8.36,61,0.96,2.7403083232234318,1741001783.1539235
42,50,128,0.3,21,0,8.44,65,0.96,2.6871299385663265,1741001783.1599958
43,50,127,0.3,13,0,8.5,70,0.96,2.6901238717228093,1741001783.1652646
44,50,140,0.3,13,0,7.98,68,0.96,2.643351194866162,1741001783.1705518
45,50,137,0.3,12,0,8.42,60,0.96,2.5619623990609672,1741001783.1759079
46,50,133,0.3,8,0,8.2,55,0.96,2.567900710222288,1741001783.181324
47,50,126,0.3,12,0,8.4,54,0.96,2.4967179963674924,1741001783.1866412
48,50,120,0.3,10,0,8.54,53,0.96,2.3355189870698947,1741001783.1919775
49,50,128,0.3,15,0,8.64,47,0.96,2.348028361044328,1741001783.1973789
