generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,30,21,0.6,0,0,1.7666666666666666,53,0.0,3.044522437723423,1741001675.7956836
1,100,106,0.6,62,0,2.27,77,0.97,3.316188007619838,1741001676.973515
2,100,129,0.6,59,0,2.7,90,0.97,3.449961840603379,1741001676.9791074
3,100,152,0.6,59,0,3.24,105,0.97,3.54535076135711,1741001676.9843516
4,100,183,0.6,60,0,3.64,110,0.97,3.658245296899141,1741001676.9915814
5,100,213,0.6,57,0,4.03,115,0.97,3.7606585077530736,1741001676.9972649
6,100,247,0.6,61,0,4.36,110,0.97,3.6992886346849465,1741001678.3773968
7,100,274,0.6,60,0,4.87,121,0.97,3.7344860220708336,1741001678.3844154
8,100,303,0.6,59,0,5.4,123,0.97,3.622205410623033,1741001678.3909404
9,100,329,0.6,55,0,6.08,125,0.97,3.6002776644099836,1741001678.3979278
10,100,340,0.6,64,0,7.15,127,0.97,3.2153697365731055,1741001678.4068875
11,100,361,0.6,54,0,7.69,127,0.97,3.185588161662718,1741001679.70123
12,100,377,0.6,61,0,8.19,133,0.97,3.1601893995305383,1741001679.7099376
13,100,406,0.6,55,0,8.64,133,0.97,3.2817585373040763,1741001679.7198863
14,100,427,0.6,56,0,9.1,133,0.97,3.409592376243482,1741001679.7281597
15,100,449,0.6,60,0,9.58,150,0.97,3.520317575334326,1741001679.7367122
16,100,465,0.6,62,0,10.03,146,0.97,3.495380354811298,1741001681.0651786
17,100,484,0.6,61,0,10.54,159,0.97,3.5731865100887408,1741001681.075169
18,100,517,0.6,60,0,11.18,177,0.97,3.676249846305938,1741001681.084556
19,100,543,0.6,59,0,12.06,175,0.97,3.627049060483324,1741001681.0947814
20,100,565,0.6,59,0,12.88,169,0.97,3.579041491345588,1741001681.1048012
21,100,613,0.6,62,0,13.23,162,0.97,3.6564622555800503,1741001682.4668458
22,100,636,0.6,50,0,14.01,159,0.97,3.5373544620282504,1741001682.4785528
23,100,653,0.6,50,0,14.6,142,0.97,3.4222477785376504,1741001682.4902234
24,100,680,0.6,52,0,14.59,141,0.97,3.3231309854917184,1741001682.5014195
25,100,689,0.6,66,0,15.34,152,0.97,3.4436716592964354,1741001682.5128067
26,100,709,0.6,55,0,15.86,152,0.97,3.5485946146045557,1741001683.9097033
27,100,735,0.6,60,0,16.42,161,0.97,3.5627801651104427,1741001683.9226859
28,100,759,0.6,60,0,17.19,149,0.97,3.4781863640587316,1741001683.9357045
29,100,787,0.6,60,0,18.02,161,0.97,3.5163616021879496,1741001683.948332
30,100,833,0.6,55,0,18.49,172,0.97,3.5923410047705304,1741001683.961316
31,100,857,0.6,53,0,18.83,163,0.97,3.5435094096721773,1741001685.330987
32,100,916,0.6,57,0,19.43,161,0.97,3.3899806268501966,1741001685.34621
33,100,958,0.6,60,0,20.07,151,0.97,3.3393211800963694,1741001685.3606188
34,100,993,0.6,56,0,20.8,161,0.97,3.2844231667360866,1741001685.3757517
35,100,1013,0.6,48,0,21.34,135,0.97,3.1656068899573846,1741001685.3907795
36,100,1044,0.6,62,0,22.11,150,0.97,3.1291056551642393,1741001686.7480564
37,100,1059,0.6,61,0,22.64,155,0.97,3.109916597452763,1741001686.7662773
38,100,1073,0.6,59,0,23.33,166,0.97,3.1663743753827647,1741001686.7817895
39,100,1098,0.6,65,0,23.82,168,0.97,3.145287634521198,1741001686.797766
40,100,1143,0.6,61,0,24.11,172,0.97,3.2264960176548416,1741001686.8137434
41,100,1181,0.6,56,0,24.25,165,0.97,3.3023987850144865,1741001688.2627726
42,100,1199,0.6,58,0,24.34,154,0.97,3.3160635413200357,1741001688.2805524
43,100,1230,0.6,49,0,24.55,149,0.97,3.3619149591314743,1741001688.29872
44,100,1282,0.6,61,0,24.9,148,0.97,3.4553756657041563,1741001688.3174286
45,100,1314,0.6,51,0,25.26,165,0.97,3.4738997748058487,1741001688.3351815
46,100,1345,0.6,64,0,25.49,163,0.97,3.5489402711907445,1741001689.6862721
47,100,1384,0.6,60,0,25.84,170,0.97,3.5448637028252916,1741001689.7071865
48,100,1434,0.6,58,0,26.11,174,0.97,3.590867730270741,1741001689.7252991
49,100,1484,0.6,59,0,26.34,169,0.97,3.453675830567208,1741001689.7443342
