generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,30,19,0.3,0,0,1.8333333333333333,55,0.0,2.9444389791664407,1741001689.7806733
1,100,108,0.3,35,0,2.83,49,0.97,2.7154524093592323,1741001690.9586089
2,100,121,0.3,24,0,3.27,58,0.97,2.635710265927513,1741001690.9644172
3,100,148,0.3,27,0,3.82,63,0.97,2.855395443566884,1741001690.9700136
4,100,188,0.3,29,0,4.21,66,0.97,2.914192259539861,1741001690.9776769
5,100,230,0.3,22,0,4.65,63,0.97,3.0826588271099675,1741001690.983637
6,100,279,0.3,31,0,4.96,75,0.97,3.079509505428625,1741001692.3620446
7,100,325,0.3,21,0,5.44,72,0.97,3.188305825168019,1741001692.3697248
8,100,359,0.3,21,0,5.68,68,0.97,3.078419472057848,1741001692.3767807
9,100,383,0.3,39,0,6.01,70,0.97,3.1051218301513566,1741001692.3858786
10,100,410,0.3,28,0,6.59,84,0.97,3.329867158665976,1741001692.3934858
11,100,469,0.3,23,0,6.81,86,0.97,3.392046291313137,1741001693.7052991
12,100,500,0.3,30,0,7.16,73,0.97,3.1987232290005365,1741001693.716202
13,100,559,0.3,23,0,7.47,76,0.97,3.0849489774719667,1741001693.7247424
14,100,598,0.3,26,0,7.85,64,0.97,2.7146047321783215,1741001693.733872
15,100,649,0.3,24,0,8.45,68,0.97,2.641777569737231,1741001693.7434924
16,100,692,0.3,26,0,8.82,64,0.97,2.5470947451718646,1741001695.1488748
17,100,743,0.3,28,0,9.07,69,0.97,2.762654283249004,1741001695.1594105
18,100,774,0.3,26,0,9.67,78,0.97,2.8839542144603456,1741001695.1708407
19,100,809,0.3,29,0,10.25,83,0.97,2.913750201304934,1741001695.180801
20,100,829,0.3,25,0,10.94,90,0.97,2.9532875900629216,1741001695.191398
21,100,871,0.3,22,0,11.11,84,0.97,3.0209989691468957,1741001696.6121998
22,100,911,0.3,28,0,11.34,81,0.97,2.9799879075055657,1741001696.626427
23,100,936,0.3,31,0,11.85,90,0.97,3.0128786800843232,1741001696.6376796
24,100,976,0.3,30,0,12.23,94,0.97,3.134142051174811,1741001696.6491902
25,100,1017,0.3,27,0,12.54,86,0.97,3.1142397262394157,1741001696.690263
26,100,1067,0.3,18,0,12.64,86,0.97,3.182747055626704,1741001698.0799482
27,100,1079,0.3,23,0,13.55,97,0.97,3.2738739588269237,1741001698.0953412
28,100,1131,0.3,23,0,13.93,93,0.97,3.430303904937298,1741001698.1080246
29,100,1222,0.3,32,0,13.56,98,0.97,3.557576635061177,1741001698.121445
30,100,1265,0.3,28,0,13.8,102,0.97,3.559251178358583,1741001698.1345675
31,100,1325,0.3,18,0,13.93,89,0.97,3.492746751447134,1741001699.461659
32,100,1360,0.3,21,0,14.03,75,0.97,3.496957440746108,1741001699.507459
33,100,1381,0.3,31,0,14.28,81,0.97,3.5004504294445415,1741001699.521466
34,100,1414,0.3,30,0,14.94,92,0.97,3.5398818843278024,1741001699.5363452
35,100,1456,0.3,25,0,15.26,93,0.97,3.48040778204665,1741001699.5514762
36,100,1483,0.3,27,0,15.97,97,0.97,3.3379654343173644,1741001700.9655068
37,100,1522,0.3,28,0,16.09,98,0.97,3.362841393039407,1741001700.9835851
38,100,1561,0.3,32,0,16.61,108,0.97,3.5253493912777754,1741001700.998797
39,100,1614,0.3,31,0,17.25,109,0.97,3.5957187403800623,1741001701.0150108
40,100,1645,0.3,23,0,18.05,109,0.97,3.5919397204156396,1741001701.0309522
41,100,1667,0.3,35,0,18.99,105,0.97,3.426172045214722,1741001702.4662843
42,100,1706,0.3,24,0,19.25,106,0.97,3.4352347924544566,1741001702.4847345
43,100,1769,0.3,25,0,19.39,92,0.97,3.3450333996033255,1741001702.5026996
44,100,1803,0.3,28,0,19.94,95,0.97,3.3942159369092857,1741001702.520824
45,100,1851,0.3,31,0,20.62,98,0.97,3.425611525284212,1741001702.5398378
46,100,1884,0.3,34,0,21.19,103,0.97,3.4693346250980106,1741001703.8321908
47,100,1922,0.3,37,0,21.72,109,0.97,3.4757737683349768,1741001703.854091
48,100,1963,0.3,24,0,22.29,114,0.97,3.541318369041584,1741001703.8735013
49,100,2006,0.3,30,0,22.8,115,0.97,3.508095310954302,1741001703.8926973
