experiment_id,experiment,strategy,final_diversity,avg_diversity,final_population,avg_attributes,attribute_entropy,diversity_index,runtime
1,基础进化,基础进化,2.9561764140791786,2.975099468121467,100,9.145266666666666,5.089380333697624,2.9836426657409585,13.755422592163086
2,高变异率,高变异率,3.453675830567208,3.4356812067882445,100,14.934133333333333,5.732658599678347,3.5492919121303874,13.969876527786255
3,低选择压力,低选择压力,3.508095310954302,3.2046592523478203,100,12.098666666666663,5.41161866365926,3.3896837234794988,14.133634090423584
4,生态位分化,生态位分化,3.490891036668978,3.2353734571585773,100,9.111533333333332,5.749279697415631,3.3944863238922807,13.799055099487305
5,平衡策略,平衡策略,3.5126984456789905,3.5234769215363353,100,11.7092,5.400162710658804,3.3764041914692373,13.925702571868896
