generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,20,15,0.3,0,0,2.05,41,0.0,2.70805020110221,1741001790.2295685
1,50,49,0.3,10,0,2.56,38,0.96,2.6430141566646483,1741001791.4101894
2,50,57,0.3,13,0,2.9,38,0.96,2.5143657381699445,1741001791.4144495
3,50,70,0.3,13,0,3.58,40,0.96,2.249968823204384,1741001791.4185245
4,50,82,0.3,17,0,4.04,45,0.96,2.3635787237070494,1741001791.4229305
5,50,89,0.3,11,0,4.32,45,0.96,2.346840630393448,1741001791.4272695
6,50,94,0.3,11,0,4.56,45,0.96,2.4427576843305383,1741001791.4317198
7,50,109,0.3,16,0,4.86,46,0.96,2.494131748480983,1741001791.4362576
8,50,133,0.3,17,0,5.02,40,0.96,2.3786065241416705,1741001791.4406304
9,50,151,0.3,18,0,5.24,47,0.96,2.569456793918454,1741001791.4454696
10,50,153,0.3,11,0,5.66,47,0.96,2.630746689886638,1741001791.450089
11,50,158,0.3,13,0,6.12,51,0.96,2.6279063403334333,1741001792.7464943
12,50,161,0.3,11,0,6.26,49,0.96,2.5183360321920154,1741001792.7517726
13,50,168,0.3,14,0,6.5,53,0.96,2.6957551336813927,1741001792.7568016
14,50,181,0.3,15,0,6.9,54,0.96,2.644145814260251,1741001792.7618008
15,50,195,0.3,14,0,6.9,52,0.96,2.85628604408041,1741001792.7669444
16,50,208,0.3,15,0,7.08,47,0.96,2.628839302701853,1741001792.772111
17,50,214,0.3,14,0,7.26,50,0.96,2.5403016177738476,1741001792.7773197
18,50,226,0.3,14,0,7.42,50,0.96,2.771803893642763,1741001792.7826512
19,50,222,0.3,12,0,8.08,48,0.96,2.8153962837708204,1741001792.7880642
20,50,226,0.3,12,0,8.44,47,0.96,2.756645362830204,1741001792.7935095
21,50,230,0.3,17,0,8.8,52,0.96,2.8025745740801686,1741001794.1999872
22,50,235,0.3,14,0,9.26,56,0.96,2.77203147608013,1741001794.2063556
23,50,256,0.3,10,0,9.54,53,0.96,2.7015727305971047,1741001794.2121046
24,50,257,0.3,12,0,9.82,54,0.96,2.6901687830779712,1741001794.2178674
25,50,268,0.3,12,0,9.94,54,0.96,2.820181841103086,1741001794.2237291
26,50,271,0.3,18,0,10.34,62,0.96,2.900616355523894,1741001794.2296748
27,50,275,0.3,19,0,10.62,62,0.96,2.9175068644200346,1741001794.2362702
28,50,275,0.3,11,0,10.84,64,0.96,2.893207770967609,1741001794.242325
29,50,273,0.3,14,0,11.32,60,0.96,2.6814317009146276,1741001794.2485714
30,50,284,0.3,13,0,11.5,60,0.96,2.8255696788815277,1741001794.254868
31,50,308,0.3,19,0,11.74,66,0.96,2.9662317742266504,1741001795.570758
32,50,340,0.3,17,0,11.72,62,0.96,3.0147746438178684,1741001795.5800579
33,50,365,0.3,15,0,11.94,67,0.96,3.0249357237988046,1741001795.587261
34,50,381,0.3,12,0,12.1,62,0.96,2.9435242507392485,1741001795.5945694
35,50,373,0.3,15,0,12.62,64,0.96,2.9716444961885493,1741001795.6019638
36,50,385,0.3,14,0,13.0,64,0.96,3.004048094402504,1741001795.60943
37,50,393,0.3,14,0,13.04,64,0.96,2.945521033350466,1741001795.6170502
38,50,406,0.3,7,0,12.86,60,0.96,2.864799607050781,1741001795.6246655
39,50,425,0.3,16,0,12.98,63,0.96,3.051025442882741,1741001795.6324775
40,50,449,0.3,18,0,12.78,69,0.96,2.9933127424463093,1741001795.6405296
41,50,474,0.3,15,0,12.9,61,0.96,3.0190977724689225,1741001797.0001972
42,50,485,0.3,12,0,12.9,61,0.96,3.046287582603548,1741001797.0105
43,50,503,0.3,15,0,12.96,65,0.96,2.9126644987994905,1741001797.0180721
44,50,522,0.3,12,0,12.94,51,0.96,2.789308724855804,1741001797.025686
45,50,538,0.3,12,0,12.98,51,0.96,2.746106884815658,1741001797.0334234
46,50,559,0.3,8,0,12.84,43,0.96,2.7327581567202146,1741001797.0411994
47,50,566,0.3,11,0,13.14,43,0.96,2.7317959812346446,1741001797.0491335
48,50,579,0.3,12,0,13.26,43,0.96,2.826833788168297,1741001797.0572414
49,50,588,0.3,16,0,13.42,49,0.96,2.8446182701238625,1741001797.0657675
